Indexcd,Trddt,Clsindex,Retindex
300,2005/4/11,995.421,-0.007996
300,2005/4/12,978.697,-0.016801
300,2005/4/13,1000.9,0.022686
300,2005/4/14,986.975,-0.013912
300,2005/4/15,974.082,-0.013063
300,2005/4/18,963.772,-0.010584
300,2005/4/19,965.886,0.002193
300,2005/4/20,950.867,-0.015549
300,2005/4/21,943.981,-0.007242
300,2005/4/22,939.101,-0.00517
300,2005/4/25,930.07,-0.009617
300,2005/4/26,937.083,0.00754
300,2005/4/27,926.604,-0.011183
300,2005/4/28,942.073,0.016694
300,2005/4/29,932.395,-0.010273
300,2005/5/9,909.174,-0.024905
300,2005/5/10,913.076,0.004292
300,2005/5/11,901.851,-0.012294
300,2005/5/12,885.82,-0.017776
300,2005/5/13,887.543,0.001945
300,2005/5/16,875.271,-0.013827
300,2005/5/17,881.462,0.007073
300,2005/5/18,883.196,0.001967
300,2005/5/19,884.171,0.001104
300,2005/5/20,882.763,-0.001592
300,2005/5/23,863.341,-0.022001
300,2005/5/24,868.456,0.005925
300,2005/5/25,868.451,-0.000006
300,2005/5/26,857.331,-0.012804
300,2005/5/27,849.508,-0.009125
300,2005/5/30,855.612,0.007185
300,2005/5/31,855.946,0.00039
300,2005/6/1,837.532,-0.021513
300,2005/6/2,818.379,-0.022868
300,2005/6/3,818.033,-0.000423
300,2005/6/6,838.997,0.025627
300,2005/6/7,837.282,-0.002044
300,2005/6/8,905.773,0.081802
300,2005/6/9,912.604,0.007542
300,2005/6/10,894.556,-0.019776
300,2005/6/13,892.959,-0.001785
300,2005/6/14,883.537,-0.010551
300,2005/6/15,866.834,-0.018905
300,2005/6/16,879.237,0.014308
300,2005/6/17,880.345,0.00126
300,2005/6/20,906.255,0.029432
300,2005/6/21,896.166,-0.011133
300,2005/6/22,900.646,0.004999
300,2005/6/23,893.572,-0.007854
300,2005/6/24,898.301,0.005292
300,2005/6/27,916.043,0.019751
300,2005/6/28,903.716,-0.013457
300,2005/6/29,898.898,-0.005331
300,2005/6/30,878.686,-0.022485
300,2005/7/1,859.494,-0.021842
300,2005/7/4,855.932,-0.004144
300,2005/7/5,849.679,-0.007305
300,2005/7/6,842.556,-0.008383
300,2005/7/7,844.729,0.002579
300,2005/7/8,829.489,-0.018041
300,2005/7/11,824.097,-0.0065
300,2005/7/12,851.816,0.033636
300,2005/7/13,846.231,-0.006557
300,2005/7/14,849.59,0.003969
300,2005/7/15,841.001,-0.01011
300,2005/7/18,832.995,-0.00952
300,2005/7/19,835.608,0.003137
300,2005/7/20,842.641,0.008417
300,2005/7/21,843.987,0.001597
300,2005/7/22,859.693,0.018609
300,2005/7/25,856.86,-0.003295
300,2005/7/26,876.48,0.022898
300,2005/7/27,894.012,0.020003
300,2005/7/28,890.885,-0.003498
300,2005/7/29,888.164,-0.003054
300,2005/8/1,891.607,0.003877
300,2005/8/2,903.598,0.013449
300,2005/8/3,909.57,0.006609
300,2005/8/4,904.15,-0.005959
300,2005/8/5,923.803,0.021736
300,2005/8/8,927.471,0.003971
300,2005/8/9,933.089,0.006057
300,2005/8/10,940.37,0.007803
300,2005/8/11,953.992,0.014486
300,2005/8/12,938.316,-0.016432
300,2005/8/15,954.502,0.01725
300,2005/8/16,945.058,-0.009894
300,2005/8/17,953.012,0.008416
300,2005/8/18,920.671,-0.033936
300,2005/8/19,923.038,0.002571
300,2005/8/22,931.673,0.009355
300,2005/8/23,923.414,-0.008865
300,2005/8/24,930.651,0.007837
300,2005/8/25,930.118,-0.000573
300,2005/8/26,928.258,-0.002
300,2005/8/29,917.371,-0.011728
300,2005/8/30,914.88,-0.002715
300,2005/8/31,927.916,0.014249
300,2005/9/1,944.559,0.017936
300,2005/9/2,947.871,0.003506
300,2005/9/5,952.717,0.005113
300,2005/9/6,936.61,-0.016906
300,2005/9/7,952.758,0.017241
300,2005/9/8,955.282,0.002649
300,2005/9/9,949.065,-0.006508
300,2005/9/12,949.506,0.000465
300,2005/9/13,963.774,0.015027
300,2005/9/14,970.193,0.00666
300,2005/9/15,969.598,-0.000613
300,2005/9/16,967.495,-0.002169
300,2005/9/19,971.136,0.003763
300,2005/9/20,961.919,-0.009491
300,2005/9/21,944.408,-0.018204
300,2005/9/22,923.274,-0.022378
300,2005/9/23,916.154,-0.007712
300,2005/9/26,918.485,0.002544
300,2005/9/27,904.214,-0.015538
300,2005/9/28,903.719,-0.000547
300,2005/9/29,915.975,0.013562
300,2005/9/30,917.39,0.001545
300,2005/10/10,907.321,-0.010976
300,2005/10/11,919.72,0.013666
300,2005/10/12,923.485,0.004094
300,2005/10/13,916.499,-0.007565
300,2005/10/14,904.828,-0.012734
300,2005/10/17,897.623,-0.007963
300,2005/10/18,902.366,0.005284
300,2005/10/19,898.744,-0.004014
300,2005/10/20,899.915,0.001303
300,2005/10/21,904.414,0.004999
300,2005/10/24,906.652,0.002475
300,2005/10/25,894.272,-0.013655
300,2005/10/26,875.82,-0.020634
300,2005/10/27,875.849,0.000033
300,2005/10/28,867.729,-0.009271
300,2005/10/31,876.282,0.009857
300,2005/11/1,872.865,-0.003899
